window_size,stride,num_graphs,activity_acc,activity_f1,improved_activity_acc,improved_activity_f1,anomaly_rate,improved_anomaly_rate
15,5,1175,0.4065934065934066,0.4044221996585161,0.33516483516483514,0.33787424994681936,5.21978021978022,5.21978021978022
15,10,636,0.3612565445026178,0.30843985897058074,0.3298429319371728,0.2911019487194647,5.2356020942408374,5.2356020942408374
30,5,701,0.19491525423728814,0.22861754871440104,0.211864406779661,0.25426992831030715,5.084745762711865,5.084745762711865
30,10,379,0.21875,0.18541033434650459,0.234375,0.2795552507836991,6.25,6.25
30,15,271,0.24489795918367346,0.2521267552323453,0.2653061224489796,0.2696793002915452,6.122448979591836,6.122448979591836
30,25,186,0.2777777777777778,0.24747474747474751,0.2222222222222222,0.23063973063973064,5.555555555555555,5.555555555555555
45,5,441,0.2682926829268293,0.190210027100271,0.2926829268292683,0.21648879763543244,6.097560975609756,6.097560975609756
45,10,235,0.25,0.16880930517294154,0.25,0.18954545454545454,6.8181818181818175,6.8181818181818175
45,15,168,0.3125,0.20710227272727275,0.15625,0.11484593837535013,6.25,6.25
45,25,117,0.30434782608695654,0.18597004018998903,0.2608695652173913,0.18840579710144925,8.695652173913043,8.695652173913043
45,40,84,0.25,0.14583333333333334,0.125,0.09375,6.25,6.25
60,5,313,0.45695364238410596,0.2972728967925013,0.3841059602649007,0.30392554279822886,5.298013245033113,5.298013245033113
60,10,164,0.5064935064935064,0.3958180184595279,0.3246753246753247,0.2525689643410632,5.194805194805195,5.194805194805195
60,15,116,0.4716981132075472,0.33779574722970945,0.5094339622641509,0.41556289791225887,5.660377358490567,5.660377358490567
60,25,76,0.4411764705882353,0.3105077928607341,0.7058823529411765,0.6373356401384083,5.88235294117647,5.88235294117647
60,40,57,0.45454545454545453,0.30606060606060603,0.45454545454545453,0.30606060606060603,9.090909090909092,9.090909090909092
100,5,166,0.0,0.0,0.16666666666666666,0.23809523809523814,8.333333333333332,8.333333333333332
