window_size,stride,num_graphs,activity_acc,activity_f1,improved_activity_acc,improved_activity_f1,anomaly_rate,improved_anomaly_rate
10,0,1110,0.6534653465346535,0.5950058996848904,0.6683168316831684,0.628324765881529,5.445544554455446,5.445544554455446
10,1,1110,0.6584158415841584,0.5963546183139168,0.6633663366336634,0.6142151741545462,5.445544554455446,5.445544554455446
10,5,1110,0.6584158415841584,0.5977697597775503,0.6584158415841584,0.5922275982755786,5.445544554455446,5.445544554455446
10,10,1110,0.6633663366336634,0.6001919849515581,0.6584158415841584,0.6423389529078957,5.445544554455446,5.445544554455446
15,0,1110,0.6534653465346535,0.5932056678721763,0.6732673267326733,0.6063523975566574,5.445544554455446,5.445544554455446
15,1,1110,0.6633663366336634,0.6009810506653075,0.6633663366336634,0.6306926859933379,5.445544554455446,5.445544554455446
15,5,1110,0.6534653465346535,0.5941359480784549,0.6831683168316832,0.677565240741984,5.445544554455446,5.445544554455446
15,10,1110,0.6584158415841584,0.5965177767776778,0.6485148514851485,0.6377778787493479,5.445544554455446,5.445544554455446
20,0,1110,0.6485148514851485,0.5893285990115401,0.6881188118811881,0.6837516897553326,5.445544554455446,5.445544554455446
20,1,1110,0.6485148514851485,0.5898257454258983,0.6534653465346535,0.5909299004434605,5.445544554455446,5.445544554455446
20,5,1110,0.6683168316831684,0.6060454900451877,0.6584158415841584,0.5967943322560679,5.445544554455446,5.445544554455446
20,10,1110,0.6584158415841584,0.5950453575910872,0.6683168316831684,0.6027614824276204,5.445544554455446,5.445544554455446
25,0,1110,0.6534653465346535,0.5936249726311276,0.6683168316831684,0.631461896189619,5.445544554455446,5.445544554455446
25,1,1110,0.6336633663366337,0.5778181984865153,0.6683168316831684,0.6427242188185465,5.445544554455446,5.445544554455446
25,5,1110,0.6386138613861386,0.5789141414141414,0.6881188118811881,0.6801849050243511,5.445544554455446,5.445544554455446
25,10,1110,0.6485148514851485,0.5880804790625866,0.6732673267326733,0.6275171032285793,5.445544554455446,5.445544554455446
30,0,1110,0.6435643564356436,0.5817306675246584,0.6831683168316832,0.619304656499271,5.445544554455446,5.445544554455446
30,1,1110,0.6633663366336634,0.6019467298447932,0.6485148514851485,0.6016017142254766,5.445544554455446,5.445544554455446
30,5,1110,0.5544554455445545,0.4684417664957098,0.6732673267326733,0.6326315063938827,5.445544554455446,5.445544554455446
30,10,1110,0.6485148514851485,0.5886340479194835,0.6732673267326733,0.6601529549351332,5.445544554455446,5.445544554455446
