window_size,stride,num_graphs,activity_acc,activity_f1,improved_activity_acc,improved_activity_f1,anomaly_rate,improved_anomaly_rate
3,1,8554,0.26527050610820246,0.2582937608676583,0.2835951134380454,0.26264815242480805,5.06108202443281,5.06108202443281
3,2,4366,0.24489795918367346,0.23548398927327488,0.24319727891156462,0.2517190041210609,5.1020408163265305,5.1020408163265305
5,1,7888,0.3194578896418199,0.3022041846162894,0.30396902226524686,0.29100822549949024,5.033881897386254,5.033881897386254
5,2,4020,0.2981132075471698,0.294988767476058,0.33773584905660375,0.33021128415016265,5.09433962264151,5.09433962264151
5,3,2733,0.2809917355371901,0.25125998157347323,0.30578512396694213,0.2909789515358239,5.234159779614325,5.234159779614325
10,1,6528,0.22110817941952507,0.16327752932683096,0.2532981530343008,0.2225425323604202,5.013192612137203,5.013192612137203
10,2,3323,0.19875776397515527,0.1268733446267779,0.2494824016563147,0.2011473009623628,5.072463768115942,5.072463768115942
10,3,2258,0.20763358778625954,0.13315057385583207,0.23511450381679388,0.1952114948520194,5.038167938931298,5.038167938931298
10,5,1401,0.1896551724137931,0.1138138509581023,0.21428571428571427,0.17035158138412454,5.172413793103448,5.172413793103448
10,7,1040,0.1848184818481848,0.12454967483382827,0.19801980198019803,0.15420385696070807,5.2805280528052805,5.2805280528052805
12,1,6093,0.25350532809871,0.25423533148740596,0.2966909702748177,0.2656189279819425,5.047672462142456,5.047672462142456
12,2,3097,0.25442477876106195,0.22402125561174369,0.24336283185840707,0.23034900452708984,5.0884955752212395,5.0884955752212395
12,3,2095,0.2504118616144975,0.23148509822780508,0.24382207578253706,0.2299582966243947,5.107084019769357,5.107084019769357
12,5,1303,0.26861702127659576,0.23129565813373845,0.2473404255319149,0.22253431673946683,5.053191489361701,5.053191489361701
12,7,962,0.23636363636363636,0.20211489357373202,0.28,0.24833869955776766,5.090909090909091,5.090909090909091
12,10,707,0.275,0.21869891219891222,0.305,0.25089874106339766,5.0,5.0
15,1,5500,0.21727019498607242,0.17892986514683404,0.2200557103064067,0.18747056922766578,5.013927576601671,5.013927576601671
15,2,2797,0.2506811989100817,0.22143369943599286,0.20708446866485014,0.17183742085328899,5.177111716621254,5.177111716621254
15,3,1891,0.256,0.20929685976443838,0.256,0.21578652907113421,5.2,5.2
15,5,1175,0.2645161290322581,0.22091210817923249,0.22580645161290322,0.21712329053481055,5.161290322580645,5.161290322580645
15,7,867,0.2413793103448276,0.17208750463477937,0.25,0.23619884025047985,5.172413793103448,5.172413793103448
15,10,636,0.21428571428571427,0.18264738671388286,0.25,0.24181057038199893,5.952380952380952,5.952380952380952
20,1,4621,0.30023923444976075,0.312091004808524,0.22966507177033493,0.25533930909221597,5.023923444976076,5.023923444976076
20,2,2352,0.31934731934731936,0.2953145693226245,0.2517482517482518,0.2549266266825149,5.128205128205128,5.128205128205128
20,3,1599,0.3469387755102041,0.26721920158907225,0.22448979591836735,0.23877637415662784,5.1020408163265305,5.1020408163265305
20,5,991,0.2712765957446808,0.23157991245531745,0.2872340425531915,0.26911781263109325,5.319148936170213,5.319148936170213
20,7,728,0.29927007299270075,0.22790006919839811,0.25547445255474455,0.25497923345638573,5.109489051094891,5.109489051094891
20,10,539,0.24528301886792453,0.18430226509670403,0.3018867924528302,0.2877831832061899,5.660377358490567,5.660377358490567
25,1,3886,0.3755020080321285,0.3873774970308938,0.3373493975903614,0.3972190519475546,5.020080321285141,5.020080321285141
25,2,1975,0.396078431372549,0.39157225304684073,0.3254901960784314,0.33808295066671834,5.098039215686274,5.098039215686274
25,3,1339,0.4425287356321839,0.384966039707419,0.3218390804597701,0.3302942363726704,5.172413793103448,5.172413793103448
25,5,831,0.45454545454545453,0.40347725037990523,0.3,0.31402844231791605,5.454545454545454,5.454545454545454
25,7,614,0.375,0.3353205128205128,0.35,0.3245763620763621,5.0,5.0
25,10,452,0.35,0.30952380952380953,0.31666666666666665,0.3449275362318841,5.0,5.0
